combined,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,Method that uses the variable:compileMultiplicationIndirection,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not, uses toArray"
row,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,Method that uses the variable:compileMultiplicationIndirection,"Changes the type from Ljava/util/ArrayList to ""fastList(EclipseCollections)""",Done
pointsAndWeights,Lorg/apache/commons/math3/analysis/integration/gauss/BaseRuleFactory>,Method that uses the variable:getRuleInternal,"Changes the type from Ljava/util/Map to ""staticBucketMap(ApacheCommonsCollections)""","Not doing, change of behavior"
topDiagonal,Lorg/apache/commons/math3/analysis/interpolation/FieldHermiteInterpolator>,Method that uses the variable:addSamplePoint,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
bottomDiagonal,Lorg/apache/commons/math3/analysis/interpolation/FieldHermiteInterpolator>,Method that uses the variable:addSamplePoint,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""",Done
abscissae,Lorg/apache/commons/math3/analysis/interpolation/FieldHermiteInterpolator>,Method that uses the variable:addSamplePoint,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
bottomDiagonal,Lorg/apache/commons/math3/analysis/interpolation/HermiteInterpolator>,Method that uses the variable:addSamplePoint,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""",Done
abscissae,Lorg/apache/commons/math3/analysis/interpolation/HermiteInterpolator>,Method that uses the variable:addSamplePoint,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
topDiagonal,Lorg/apache/commons/math3/analysis/interpolation/HermiteInterpolator>,Method that uses the variable:addSamplePoint,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
microsphere,Lorg/apache/commons/math3/analysis/interpolation/MicrosphereInterpolatingFunction>,Method that uses the variable:<init>,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""",Done
HERMITE_COEFFICIENTS,Lorg/apache/commons/math3/analysis/polynomials/PolynomialsUtils>,Method that uses the variable:<clinit>,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, conflincting recommendation. The variable is passed to a method where NodeCachingLinkedList is not a recommendation"
CHEBYSHEV_COEFFICIENTS,Lorg/apache/commons/math3/analysis/polynomials/PolynomialsUtils>,Method that uses the variable:<clinit>,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, conflincting recommendation. The variable is passed to a method where NodeCachingLinkedList is not a recommendation"
LAGUERRE_COEFFICIENTS,Lorg/apache/commons/math3/analysis/polynomials/PolynomialsUtils>,Method that uses the variable:<clinit>,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, conflincting recommendation. The variable is passed to a method where NodeCachingLinkedList is not a recommendation"
LEGENDRE_COEFFICIENTS,Lorg/apache/commons/math3/analysis/polynomials/PolynomialsUtils>,Method that uses the variable:<clinit>,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, conflincting recommendation. The variable is passed to a method where NodeCachingLinkedList is not a recommendation"
singletons,Lorg/apache/commons/math3/distribution/EnumeratedDistribution>,Method that uses the variable:<init>,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
distribution,Lorg/apache/commons/math3/distribution/MixtureMultivariateRealDistribution>,Method that uses the variable:getComponents,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
components,Lorg/apache/commons/math3/distribution/fitting/MultivariateNormalMixtureExpectationMaximization>,Method that uses the variable:fit,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, variable comes from another class"
list,Lorg/apache/commons/math3/exception/util/ArgUtils>,Method that uses the variable:flatten,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation toArray"
msgPatterns,Lorg/apache/commons/math3/exception/util/ExceptionContext>,Method that uses the variable:addMessage,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
msgArguments,Lorg/apache/commons/math3/exception/util/ExceptionContext>,Method that uses the variable:addMessage,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
observations,Lorg/apache/commons/math3/fitting/CurveFitter>,Method that uses the variable:fit,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operations toArray and clear"
observations,Lorg/apache/commons/math3/fitting/WeightedObservedPoints>,Method that uses the variable:add,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation clear"
parent2Rep,Lorg/apache/commons/math3/genetics/CycleCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""","Not doing, comes from another class"
chromosomes,Lorg/apache/commons/math3/genetics/ListPopulation>,Method that uses the variable:addChromosome,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
c2,Lorg/apache/commons/math3/genetics/NPointCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is passed along to other class"
c1,Lorg/apache/commons/math3/genetics/NPointCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is passed along to other class"
parent1Rep,Lorg/apache/commons/math3/genetics/NPointCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""","Not doing, comes from another class"
parent2Rep,Lorg/apache/commons/math3/genetics/NPointCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""","Not doing, comes from another class"
parent2Rep,Lorg/apache/commons/math3/genetics/OnePointCrossover>,Method that uses the variable:crossover,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
parent1Rep,Lorg/apache/commons/math3/genetics/OnePointCrossover>,Method that uses the variable:crossover,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
parent1Rep,Lorg/apache/commons/math3/genetics/OrderedCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another class"
child2Set,Lorg/apache/commons/math3/genetics/OrderedCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/HashSet to ""linkedHashSet""","Not doing, uses unbenched operations addAll and contains"
child1Set,Lorg/apache/commons/math3/genetics/OrderedCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/HashSet to ""linkedHashSet""","Not doing, uses unbenched operations addAll and contains"
parent2Rep,Lorg/apache/commons/math3/genetics/OrderedCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another class"
thisPerm,Lorg/apache/commons/math3/genetics/RandomKey>,Method that uses the variable:isSame,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
anotherPerm,Lorg/apache/commons/math3/genetics/RandomKey>,Method that uses the variable:isSame,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
parent1Rep,Lorg/apache/commons/math3/genetics/UniformCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
parent2Rep,Lorg/apache/commons/math3/genetics/UniformCrossover>,Method that uses the variable:mate,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
segments,Lorg/apache/commons/math3/geometry/euclidean/twod/PolygonsSet$SegmentsBuilder>,Method that uses the variable:addContribution,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
loop,Lorg/apache/commons/math3/geometry/euclidean/twod/PolygonsSet>,Method that uses the variable:getVertices,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another method"
edgeToNode,Lorg/apache/commons/math3/geometry/spherical/twod/EdgesBuilder>,Method that uses the variable:addContribution,"Changes the type from Ljava/util/Map to ""hashMap""","not doing, change of behavior, concrete type is IdentityHashMap"
convexCellsInsidePoints,Lorg/apache/commons/math3/geometry/spherical/twod/PropertiesComputer>,Method that uses the variable:visitLeafNode,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
boundary,Lorg/apache/commons/math3/geometry/spherical/twod/PropertiesComputer>,Method that uses the variable:visitLeafNode,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another class"
edges,Lorg/apache/commons/math3/geometry/spherical/twod/SphericalPolygonsSet>,Method that uses the variable:getBoundaryLoops,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another class"
loops,Lorg/apache/commons/math3/geometry/spherical/twod/SphericalPolygonsSet>,Method that uses the variable:getBoundaryLoops,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
circles,Lorg/apache/commons/math3/geometry/spherical/twod/Vertex>,Method that uses the variable:bindWith,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""",Done
nonZeroPositions,Lorg/apache/commons/math3/linear/AbstractFieldMatrix>,Method that uses the variable:power,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""",Done
results,Lorg/apache/commons/math3/linear/AbstractFieldMatrix>,Method that uses the variable:power,"Changes the type from Ljava/util/ArrayList to ""treeList(ApacheCommonsCollections)""",Done
nonZeroPositions,Lorg/apache/commons/math3/linear/AbstractRealMatrix>,Method that uses the variable:power,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""",Done
matrix,Lorg/apache/commons/math3/linear/RealMatrixFormat>,Method that uses the variable:parse,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""",Done
rowList,Lorg/apache/commons/math3/linear/RealMatrixFormat>,Method that uses the variable:parse,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another class"
components,Lorg/apache/commons/math3/linear/RealVectorFormat>,Method that uses the variable:parse,"Changes the type from Ljava/util/ArrayList to ""fastList(EclipseCollections)""",Done
points,Lorg/apache/commons/math3/ml/clustering/Cluster>,Method that uses the variable:addPoint,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
newClusters,Lorg/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer>,Method that uses the variable:updateClusterCenters,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is later assigned to a variable used on other methods"
clusters,Lorg/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer>,Method that uses the variable:getObjectiveFunctionValue,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
points,Lorg/apache/commons/math3/ml/clustering/FuzzyKMeansClusterer>,Method that uses the variable:getObjectiveFunctionValue,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, variable is returned on a public method, so other classes can use it differently"
points,Lorg/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer>,Method that uses the variable:getFarthestPoint,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another class"
pointList,Lorg/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer>,Method that uses the variable:chooseInitialCenters,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
selectedPoints,Lorg/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer>,Method that uses the variable:getPointFromLargestVarianceCluster,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
points,Lorg/apache/commons/math3/ml/clustering/evaluation/ClusterEvaluator>,Method that uses the variable:centroidOf,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another class"
steps,Lorg/apache/commons/math3/ode/ContinuousOutputModel>,Method that uses the variable:getInterpolatedState,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
usedBasicRows,Lorg/apache/commons/math3/optim/linear/SimplexTableau>,Method that uses the variable:getSolution,"Changes the type from Ljava/util/HashSet to ""linkedHashSet""","Not doing, uses unbenched operation contains"
columnsToDrop,Lorg/apache/commons/math3/optim/linear/SimplexTableau>,Method that uses the variable:dropPhase1Objective,"Changes the type from Ljava/util/TreeSet to ""linkedHashSet""","Not doing, uses unbenched operation contains and toArray"
columnLabels,Lorg/apache/commons/math3/optim/linear/SimplexTableau>,Method that uses the variable:initializeColumnLabels,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, uses unbenched operation indexOf"
optima,Lorg/apache/commons/math3/optim/nonlinear/scalar/MultiStartMultivariateOptimizer>,Method that uses the variable:store,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation Collections.sort and toArray"
statisticsSigmaHistory,Lorg/apache/commons/math3/optim/nonlinear/scalar/noderiv/CMAESOptimizer>,Method that uses the variable:doOptimize,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
statisticsFitnessHistory,Lorg/apache/commons/math3/optim/nonlinear/scalar/noderiv/CMAESOptimizer>,Method that uses the variable:doOptimize,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
statisticsDHistory,Lorg/apache/commons/math3/optim/nonlinear/scalar/noderiv/CMAESOptimizer>,Method that uses the variable:doOptimize,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
statisticsMeanHistory,Lorg/apache/commons/math3/optim/nonlinear/scalar/noderiv/CMAESOptimizer>,Method that uses the variable:doOptimize,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
optima,Lorg/apache/commons/math3/optim/nonlinear/vector/MultiStartMultivariateVectorOptimizer>,Method that uses the variable:store,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation Collections.sort and toArray"
statisticsDHistory,Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer>,Method that uses the variable:doOptimize,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
statisticsMeanHistory,Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer>,Method that uses the variable:doOptimize,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
statisticsFitnessHistory,Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer>,Method that uses the variable:doOptimize,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
statisticsSigmaHistory,Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer>,Method that uses the variable:doOptimize,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
columnsToDrop,Lorg/apache/commons/math3/optimization/linear/SimplexTableau>,Method that uses the variable:dropPhase1Objective,"Changes the type from Ljava/util/TreeSet to ""linkedHashSet""","Not doing, uses unbenched operation Collections.sort and toArray"
constraints,Lorg/apache/commons/math3/optimization/linear/SimplexTableau>,Method that uses the variable:getConstraintTypeCounts,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
binStats,Lorg/apache/commons/math3/random/EmpiricalDistribution>,Method that uses the variable:fillBinStats,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
freqTable,Lorg/apache/commons/math3/stat/Frequency>,Method that uses the variable:getCount,"Changes the type from Ljava/util/TreeMap to ""linkedHashMap""","Not doing, change of behavior, a comparator is used"
points,Lorg/apache/commons/math3/stat/clustering/Cluster>,Method that uses the variable:addPoint,"Changes the type from Ljava/util/List to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned on a public method, so other classes can use it differently"
points,Lorg/apache/commons/math3/stat/clustering/KMeansPlusPlusClusterer>,Method that uses the variable:getFarthestPoint,"Changes the type from Ljava/util/List to ""copyOnWriteArrayList""","Not doing, comes from another class"
pointList,Lorg/apache/commons/math3/stat/clustering/KMeansPlusPlusClusterer>,Method that uses the variable:chooseInitialCenters,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""",Done
selectedPoints,Lorg/apache/commons/math3/stat/clustering/KMeansPlusPlusClusterer>,Method that uses the variable:getPointFromLargestVarianceCluster,"Changes the type from Ljava/util/List to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
initialFive,Lorg/apache/commons/math3/stat/descriptive/rank/PSquarePercentile>,Method that uses the variable:maximum,"Changes the type from Ljava/util/List to ""fastList(EclipseCollections)""","Not doing, uses unbenched operation Collections.sort"
tiesTrace,Lorg/apache/commons/math3/stat/ranking/NaturalRanking>,Method that uses the variable:rank,"Changes the type from Ljava/util/ArrayList to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is passed along to other methods with different recommendation"
